iter	Accuracy	MultiClass
0	0.5898174832	1.31996223
1	0.5782901057	1.265835572
2	0.5840537944	1.225120807
3	0.6224783862	1.186076026
4	0.6282420749	1.158084646
5	0.6292026897	1.127261961
6	0.6378482229	1.096599258
7	0.6580211335	1.075076882
8	0.6618635927	1.053485056
9	0.6647454371	1.032387209
10	0.6685878963	1.014162716
11	0.669548511	0.9965479779
12	0.6618635927	0.9791491151
13	0.6647454371	0.9662714477
14	0.6676272815	0.9543198673
15	0.6618635927	0.9391915319
16	0.6685878963	0.9288001905
17	0.6628242075	0.912893996
18	0.6829971182	0.9030234609
19	0.674351585	0.8965821824
20	0.6849183477	0.8867525978
21	0.6868395773	0.8805470905
22	0.6887608069	0.8681148981
23	0.6954851105	0.8618424407
24	0.6878001921	0.8575601121
25	0.7089337176	0.8441151196
26	0.707012488	0.8382136875
27	0.7050912584	0.8318531852
28	0.7041306436	0.8258338694
29	0.7098943324	0.8179442025
30	0.707012488	0.8139576853
31	0.7204610951	0.8050026772
32	0.7291066282	0.7976286586
33	0.7291066282	0.7950653142
34	0.7358309318	0.7889359787
35	0.7310278578	0.783366433
36	0.7406340058	0.7774286212
37	0.7473583093	0.7728962531
38	0.7483189241	0.7684360627
39	0.7483189241	0.7636963305
40	0.7492795389	0.7602432535
41	0.7483189241	0.7552853932
42	0.7521613833	0.7495390593
43	0.7540826129	0.7417640485
44	0.7560038425	0.7378963757
45	0.7617675312	0.7338893135
46	0.7617675312	0.7300973607
47	0.7636887608	0.7275044074
48	0.76753122	0.7232144125
49	0.76753122	0.7186113454
50	0.7656099904	0.7141996767
51	0.76753122	0.7080328425
52	0.7742555235	0.7008838504
53	0.7713736792	0.6959500091
54	0.7761767531	0.6941446116
55	0.7732949087	0.6914013207
56	0.7752161383	0.6889048586
57	0.7800192123	0.6841838241
58	0.7771373679	0.6789273202
59	0.7829010567	0.6763957058
60	0.7838616715	0.6727279115
61	0.7809798271	0.6715660558
62	0.7800192123	0.668571191
63	0.7819404419	0.6657785173
64	0.7809798271	0.6628502681
65	0.7819404419	0.6595228908
66	0.7780979827	0.6569154508
67	0.7829010567	0.6548160491
68	0.7848222863	0.6522080629
69	0.7819404419	0.64768147
70	0.7857829011	0.6450397826
71	0.7829010567	0.6412037633
72	0.7886647454	0.6382086227
73	0.7867435159	0.6363614152
74	0.7886647454	0.6345757251
75	0.7982708934	0.629994901
76	0.7963496638	0.62621332
77	0.795389049	0.623412503
78	0.7925072046	0.6204697521
79	0.7992315082	0.6165975449
80	0.7973102786	0.6130545289
81	0.7982708934	0.6107288505
82	0.7992315082	0.6086119971
83	0.7982708934	0.6065692539
84	0.8059558117	0.6044229705
85	0.8059558117	0.6023916468
86	0.8021133525	0.6006998881
87	0.8011527378	0.5999668135
88	0.8011527378	0.5975161775
89	0.8021133525	0.5952678165
90	0.8097982709	0.592840596
91	0.8107588857	0.5905519285
92	0.8107588857	0.5882317674
93	0.8117195005	0.5875302497
94	0.8049951969	0.5840090331
95	0.8136407301	0.5814011983
96	0.8126801153	0.5793934919
97	0.8126801153	0.5772162565
98	0.8174831892	0.5744559564
99	0.8203650336	0.5714916025
