iter	Passed	Remaining
0	145	14446
1	149	7304
2	151	4907
3	154	3716
4	157	2993
5	160	2508
6	162	2164
7	165	1908
8	169	1711
9	172	1554
10	175	1422
11	178	1311
12	182	1218
13	185	1138
14	188	1069
15	192	1008
16	195	954
17	198	906
18	202	861
19	205	820
20	208	783
21	211	749
22	214	717
23	217	687
24	219	659
25	222	634
26	225	610
27	228	588
28	231	567
29	234	548
30	238	530
31	241	513
32	244	497
33	248	481
34	251	467
35	255	454
36	259	441
37	262	428
38	265	415
39	268	403
40	272	391
41	276	381
42	279	370
43	283	361
44	287	351
45	290	341
46	293	331
47	296	321
48	300	312
49	303	303
50	306	294
51	310	286
52	313	277
53	316	269
54	319	261
55	322	253
56	325	245
57	328	238
58	332	230
59	335	223
60	339	216
61	342	210
62	346	203
63	349	196
64	353	190
65	357	184
66	361	177
67	364	171
68	367	165
69	371	159
70	374	153
71	377	146
72	381	141
73	385	135
74	388	129
75	392	123
76	395	118
77	399	112
78	402	107
79	406	101
80	410	96
81	414	90
82	417	85
83	421	80
84	425	75
85	428	69
86	431	64
87	434	59
88	438	54
89	441	49
90	445	44
91	448	39
92	452	34
93	456	29
94	460	24
95	463	19
96	467	14
97	470	9
98	474	4
99	477	0
